title,year,director,rating,votes,metascore
kong skull island,2017,jordan vogt roberts,6.7,371895,62.0
incredibles 2,2018,brad bird,7.5,366471,80.0
weapons,2025,zach cregger,7.4,349399,81.0
project hail mary,2026,phil lord christopher miller,8.3,333549,77.0
f1 the movie,2025,joseph kosinski,7.6,353753,68.0
lady bird,2017,greta gerwig,7.4,363036,93.0
call me by your name,2017,luca guadagnino,7.8,351228,94.0
beauty and the beast,2017,bill condon,7.1,356758,65.0
uncut gems,2019,benny safdie josh safdie,7.4,351556,93.0
it chapter two,2019,andy muschietti,6.5,353654,58.0
the greatest showman,2017,michael gracey,7.5,342749,48.0
alien covenant,2017,ridley scott,6.4,344333,65.0
fantastic beasts the crimes of grindelwald,2018,david yates,6.5,329657,52.0
don t breathe,2016,fede alvarez,7.1,328090,71.0
mission impossible dead reckoning part one,2023,christopher mcquarrie,7.6,326383,81.0
war for the planet of the apes,2017,matt reeves,7.4,324617,82.0
a quiet place part ii,2020,john krasinski,7.2,315806,71.0
alita battle angel,2019,robert rodriguez,7.3,321252,53.0
furiosa a mad max saga,2024,george miller,7.5,311953,79.0
murder on the orient express,2017,kenneth branagh,6.5,319654,52.0
jumanji the next level,2019,jake kasdan,6.6,316072,58.0
toy story 4,2019,josh cooley,7.6,310352,84.0
nope,2022,jordan peele,6.8,314732,77.0
wind river,2017,taylor sheridan,7.7,311709,73.0
aladdin,2019,guy ritchie,6.9,312476,53.0
blackkklansman,2018,spike lee,7.5,314003,83.0
wonder woman 1984,2020,patty jenkins,5.3,310651,60.0
train to busan,2016,yeon sang ho,7.6,300921,73.0
killers of the flower moon,2023,martin scorsese,7.5,302730,89.0
venom let there be carnage,2021,andy serkis,5.9,304536,49.0
black adam,2022,jaume collet serra,6.1,303175,41.0
glass,2019,m night shyamalan,6.6,302015,43.0
the matrix resurrections,2021,lana wachowski,5.6,301242,63.0
the lighthouse,2019,robert eggers,7.4,301036,83.0
gladiator ii,2024,ridley scott,6.4,296954,64.0
uncharted,2022,ruben fleischer,6.3,298712,45.0
the northman,2022,robert eggers,7.0,298461,82.0
the whale,2022,darren aronofsky,7.6,281700,60.0
encanto,2021,jared bush byron howard charise castro smith,7.2,293893,75.0
cruella,2021,craig gillespie,7.3,293600,59.0
